0.8644941,0.9400492,0.8023908,0.9045966,0.9962782,0.8485586,0.9867374,0.9779589,
0.8783103,0.8689836,0.9111301,0.9924912,0.9948137,0.8857977,0.9682050,0.9920384,
0.9181719,0.8390137,0.9133068,0.9387068,0.9436625,0.9098239,0.9831535,0.9953759,
0.9036448,0.9129140,0.7812231,0.9323583,0.9944537,0.9044195,0.9827927,0.9899378,
0.9012948,0.9325228,0.9132167,0.9999421,0.9917631,0.8848836,0.9805608,0.9902841,
0.8267204,0.8795384,0.9207225,0.9401140,0.9569494,0.8321231,0.9647244,0.9951885,
0.9693273,0.9645667,0.9065067,0.9305001,0.9293553,0.8944096,0.9962732,0.9926565,
0.8988135,0.9042351,0.9752801,0.9299814,0.9674304,0.8788252,0.9864540,0.9906905,
0.8562235,0.8668621,0.9431452,0.9957941,0.9923207,0.8639143,0.9756507,0.9909807,
0.7766476,0.6658642,0.9913718,0.9963416,0.9985210,0.7493710,0.9947768,0.9930523,
0.8679312,0.9624280,0.8919775,0.9394168,0.9876284,0.8468672,0.9869127,0.9670903,
0.8806077,0.9329082,0.9356619,0.9259450,0.9883044,0.8781348,0.9761086,0.9567039,
0.8553795,0.8606524,0.9102722,0.9370335,0.9732640,0.8851758,0.9694614,0.9919987,
0.9321793,0.9952977,0.9935405,0.9958049,0.9943510,0.9203712,0.9904237,0.9906901,
0.8851877,0.9524809,0.8270630,0.9393949,0.9919903,0.8735799,0.9887861,0.9177387,
0.9973702,0.9927877,0.9916086,0.9913747,0.9968403,0.9920573,0.9988928,0.9913882,
0.8762909,0.8861578,0.8921759,0.9436226,0.9948577,0.8722948,0.9793347,0.9940494,
0.8827633,0.9013164,0.7532975,0.9943841,0.9985838,0.8971287,0.9678213,0.9930794,
0.9922471,0.9940953,0.9964953,0.9953988,0.9995639,0.9920403,0.9927741,0.9962845,
0.8633497,0.9319919,0.8031014,0.8840870,0.9966000,0.8577371,0.9731437,0.9967031,
0.8620286,0.8992398,0.9473754,0.9535127,0.9844781,0.8745704,0.9889575,0.7798995,
0.8394408,0.9492615,0.7424111,0.9082220,0.9873207,0.8209825,0.9701546,0.9334161,
